chunk_size,chunk_number,No of healthy records,No of unhealthy records,reading_time,filtering_time,frame_Total_Time
10000,1,8725,1275,0.19,0.15,0.34
10000,2,8570,1430,0.23,0.15,0.38
10000,3,8589,1411,0.25,0.18,0.43
10000,4,8676,1324,0.26,0.23,0.49
10000,5,8626,1374,0.31,0.19,0.5
10000,6,8697,1303,0.26,0.34,0.6
10000,7,8644,1356,0.3,0.3,0.6
10000,8,8706,1294,0.34,0.33,0.67
10000,9,8678,1322,0.29,0.3,0.59
10000,10,8710,1290,0.37,0.26,0.63
10000,11,8655,1345,0.28,0.21,0.49
10000,12,8723,1277,0.29,0.35,0.64
10000,13,8637,1363,0.37,0.21,0.58
10000,14,8687,1313,0.25,0.16,0.41
10000,15,8671,1329,0.24,0.17,0.41
10000,16,8651,1349,0.25,0.13,0.38
10000,17,8772,1228,0.19,0.11,0.3
10000,18,8704,1296,0.21,0.1,0.31
10000,19,8691,1309,0.21,0.14,0.35
10000,20,8799,1201,0.24,0.15,0.39
10000,21,8858,1142,0.2,0.1,0.3
10000,22,8695,1305,0.21,0.13,0.34
10000,23,8737,1263,0.2,0.11,0.31
10000,24,8704,1296,0.23,0.12,0.35
10000,25,8773,1227,0.23,0.12,0.35
10000,26,8662,1338,0.22,0.1,0.32
10000,27,8738,1262,0.2,0.13,0.33
10000,28,8669,1331,0.2,0.12,0.32
10000,29,8790,1210,0.21,0.11,0.32
10000,30,8759,1241,0.21,0.11,0.32
10000,31,8717,1283,0.21,0.11,0.32
10000,32,8750,1250,0.19,0.11,0.3
10000,33,8696,1304,0.21,0.15,0.36
10000,34,8684,1316,0.26,0.11,0.37
10000,35,8681,1319,0.19,0.1,0.29
10000,36,8763,1237,0.2,0.13,0.33
10000,37,8696,1304,0.22,0.1,0.32
10000,38,8680,1320,0.21,0.17,0.38
10000,39,8724,1276,0.23,0.11,0.34
10000,40,8639,1361,0.2,0.15,0.35
10000,41,8636,1364,0.23,0.17,0.4
10000,42,8631,1369,0.28,0.14,0.42
10000,43,8531,1469,0.22,0.11,0.33
10000,44,8721,1279,0.21,0.15,0.36
10000,45,8734,1266,0.27,0.13,0.4
10000,46,8675,1325,0.23,0.19,0.42
10000,47,8763,1237,0.25,0.11,0.36
10000,48,8797,1203,0.21,0.15,0.36
10000,49,8642,1358,0.28,0.16,0.44
10000,50,8725,1275,0.26,0.13,0.39
10000,51,8663,1337,0.23,0.11,0.34
10000,52,8762,1238,0.2,0.15,0.35
10000,53,8726,1274,0.25,0.18,0.43
10000,54,8734,1266,0.26,0.16,0.42
10000,55,8729,1271,0.24,0.11,0.35
10000,56,8584,1416,0.21,0.15,0.36
10000,57,8566,1434,0.25,0.14,0.39
10000,58,8498,1502,0.22,0.17,0.39
10000,59,8709,1291,0.28,0.11,0.39
10000,60,8627,1373,0.2,0.11,0.31
10000,61,8603,1397,0.23,0.16,0.39
10000,62,8601,1399,0.23,0.15,0.38
10000,63,8566,1434,0.22,0.17,0.39
10000,64,8578,1422,0.24,0.13,0.37
10000,65,8672,1328,0.19,0.15,0.34
10000,66,8504,1496,0.26,0.21,0.47
10000,67,8684,1316,0.27,0.14,0.41
10000,68,8659,1341,0.19,0.12,0.31
10000,69,8621,1379,0.21,0.16,0.37
10000,70,8623,1377,0.26,0.16,0.42
10000,71,8650,1350,0.24,0.13,0.37
10000,72,8652,1348,0.26,0.12,0.38
10000,73,8698,1302,0.24,0.15,0.39
10000,74,8575,1425,0.22,0.17,0.39
10000,75,8554,1446,0.28,0.17,0.45
10000,76,8651,1349,0.23,0.12,0.35
10000,77,8663,1337,0.24,0.17,0.41
10000,78,8734,1266,0.3,0.15,0.45
10000,79,8767,1233,0.29,0.14,0.43
10000,80,8590,1410,0.2,0.11,0.31
10000,81,8678,1322,0.23,0.18,0.41
10000,82,8635,1365,0.31,0.21,0.52
10000,83,8698,1302,0.27,0.16,0.43
10000,84,8691,1309,0.25,0.2,0.45
10000,85,8695,1305,0.27,0.19,0.46
10000,86,8614,1386,0.27,0.16,0.43
10000,87,8444,1556,0.25,0.12,0.37
10000,88,8531,1469,0.2,0.13,0.33
10000,89,8708,1292,0.25,0.18,0.43
10000,90,8468,1532,0.26,0.14,0.4
10000,91,8750,1250,0.22,0.13,0.35
10000,92,8700,1300,0.24,0.24,0.48
10000,93,8641,1359,0.29,0.29,0.58
10000,94,8555,1445,0.28,0.18,0.46
10000,95,8595,1405,0.22,0.14,0.36
10000,96,8664,1336,0.2,0.16,0.36
10000,97,8685,1315,0.26,0.14,0.4
10000,98,8694,1306,0.24,0.18,0.42
10000,99,8729,1271,0.27,0.2,0.47
10000,100,8715,1285,0.24,0.32,0.56
,,total:867014,total:132986,total:24.16,total:16.01,total:40.17
,,,,average:0.24,average:0.16,average:0.4
,,,,max:0.37,max:0.35,max:0.67
,,,,min:0.19,min:0.1,min:0.29
chunk_size,chunk_number,No of healthy records,No of unhealthy records,reading_time,filtering_time,frame_Total_Time
10000,1,8725,1275,0.28,0.2,0.48
10000,2,8570,1430,0.27,0.23,0.5
10000,3,8589,1411,0.26,0.16,0.42
10000,4,8676,1324,0.21,0.19,0.4
10000,5,8626,1374,0.26,0.25,0.51
10000,6,8697,1303,0.31,0.22,0.53
10000,7,8644,1356,0.26,0.22,0.48
10000,8,8706,1294,0.28,0.21,0.49
10000,9,8678,1322,0.25,0.26,0.51
10000,10,8710,1290,0.32,0.22,0.54
10000,11,8655,1345,0.26,0.19,0.45
10000,12,8723,1277,0.25,0.23,0.48
10000,13,8637,1363,0.29,0.35,0.64
10000,14,8687,1313,0.39,0.35,0.74
10000,15,8671,1329,0.5,0.32,0.82
10000,16,8651,1349,0.43,0.11,0.54
10000,17,8772,1228,0.41,0.29,0.7
10000,18,8704,1296,0.43,0.32,0.75
10000,19,8691,1309,0.41,0.32,0.73
10000,20,8799,1201,0.42,0.36,0.78
10000,21,8858,1142,0.37,0.35,0.72
10000,22,8695,1305,0.43,0.32,0.75
10000,23,8737,1263,0.39,0.33,0.72
10000,24,8704,1296,0.42,0.33,0.75
10000,25,8773,1227,0.43,0.46,0.89
10000,26,8662,1338,0.45,0.45,0.9
10000,27,8738,1262,0.45,0.34,0.79
10000,28,8669,1331,0.36,0.31,0.67
10000,29,8790,1210,0.31,0.33,0.64
10000,30,8759,1241,0.34,0.21,0.55
10000,31,8717,1283,0.27,0.28,0.55
10000,32,8750,1250,0.29,0.35,0.64
10000,33,8696,1304,0.36,0.36,0.72
10000,34,8684,1316,0.38,0.39,0.77
10000,35,8681,1319,0.3,0.39,0.69
10000,36,8763,1237,0.34,0.32,0.66
10000,37,8696,1304,0.34,0.29,0.63
10000,38,8680,1320,0.29,0.25,0.54
10000,39,8724,1276,0.28,0.23,0.51
10000,40,8639,1361,0.27,0.26,0.53
10000,41,8636,1364,0.27,0.26,0.53
10000,42,8631,1369,0.3,0.29,0.59
10000,43,8531,1469,0.32,0.4,0.72
10000,44,8721,1279,0.35,0.35,0.7
10000,45,8734,1266,0.36,0.33,0.69
10000,46,8675,1325,0.33,0.33,0.66
10000,47,8763,1237,0.34,0.28,0.62
10000,48,8797,1203,0.32,0.3,0.62
10000,49,8642,1358,0.32,0.27,0.59
10000,50,8725,1275,0.29,0.27,0.56
10000,51,8663,1337,0.31,0.27,0.58
